Id,Nombre
1,Camisa
2,Pantalón
3,Falda
4,Vestido
5,Chaqueta
6,Abrigo
7,Suéter
8,Blusa
9,Short
10,Chaleco
11,Bufanda
12,Corbata
13,Polo
14,Sudadera
15,Camiseta
16,Mono
17,Leggins
18,Pijama
19,Traje
20,Bermuda
21,Top
22,Chándal
23,Cazadora
24,Poncho
25,Kimono
26,Bata
27,Jersey
28,Parka
29,Gabardina
30,Overol
31,Camisón
32,Túnica
33,Faja
34,Guantes
35,Medias
36,Calcetines
37,Zapatos
38,Sandalias
39,Botas
40,Gorra
41,Sombrero
42,Boina
43,Cinturón
44,Chal
45,Blazer
46,Cardigan
47,Impermeable
48,Esmoquin
49,Babero
50,Abrigo197476
51,Camiseta520038
52,Top329348
53,Leggins657785
54,Botas903650
55,Cardigan414944
56,Sombrero933671
57,Chaqueta360338
58,Blusa90465
59,Gorra579617
60,Túnica763229
61,Bufanda46128
62,Blazer530427
63,Falda411421
64,Chaleco793260
65,Zapatos502834
66,Corbata831177
67,Chándal928611
68,Gabardina751399
69,Faja997394
70,Falda820554
71,Sombrero709254
72,Abrigo93062
73,Short85293
74,Zapatos932871
75,Camiseta534707
76,Pantalón159457
77,Esmoquin797255
78,Faja209398
79,Cinturón401988
80,Top996143
81,Faja454956
82,Bata657164
83,Calcetines793482
84,Kimono941407
85,Cinturón269317
86,Faja641877
87,Blusa981024
88,Bermuda871248
89,Traje137922
90,Sombrero102931
91,Zapatos949974
92,Abrigo308106
93,Kimono232090
94,Camisa874816
95,Corbata83496
96,Cazadora8870
97,Camisón652040
98,Polo71118
99,Vestido571392
100,Cinturón374355
101,Cardigan406353
102,Cazadora436871
103,Camisón531189
104,Falda683546
105,Bata999655
106,Cinturón803819
107,Camisón834134
108,Cardigan113618
109,Overol280258
110,Mono639357
111,Overol54238
112,Botas361939
113,Gabardina545742
114,Abrigo69505
115,Camisa229439
116,Abrigo439533
117,Top194554
118,Suéter320668
119,Cinturón464434
120,Guantes700312
121,Cinturón219162
122,Abrigo250691
123,Gorra338583
124,Medias683549
125,Guantes131679
126,Chaleco92384
127,Faja12084
128,Polo563582
129,Traje903513
130,Vestido995818
131,Short626478
132,Bata264236
133,Camisa67387
134,Cardigan939372
135,Sudadera540057
136,Botas509406
137,Vestido696153
138,Cazadora267248
139,Boina954525
140,Cardigan917846
141,Botas963864
142,Faja802685
143,Babero983216
144,Gabardina929667
145,Falda224020
146,Zapatos453727
147,Kimono123128
148,Corbata953200
149,Corbata661586
150,Bata921287
151,Short400103
152,Blusa946773
153,Poncho742253
154,Falda680919
155,Cazadora69054
156,Polo503725
157,Chándal394499
158,Vestido351682
159,Kimono388288
160,Chaqueta715126
161,Pantalón317418
162,Chándal68645
163,Gabardina267013
164,Sombrero339459
165,Babero427714
166,Short404179
167,Impermeable657979
168,Botas926690
169,Blazer74291
170,Medias514676
171,Sandalias563892
172,Sudadera532677
173,Bata119831
174,Kimono799832
175,Chaleco417394
176,Abrigo873339
177,Bufanda840138
178,Chal174884
179,Pantalón318219
180,Parka580489
181,Esmoquin348710
182,Abrigo660330
183,Sudadera454300
184,Esmoquin946644
185,Short477510
186,Mono591512
187,Chándal462215
188,Camiseta317532
189,Overol401791
190,Top235370
191,Mono630333
192,Impermeable430374
193,Kimono495631
194,Cinturón149155
195,Abrigo733166
196,Vestido986370
197,Bata586513
198,Bata296746
199,Bata714309
200,Polo326119
201,Bermuda604963
202,Esmoquin426834
203,Calcetines656832
204,Camisa137700
205,Gabardina501021
206,Medias736588
207,Medias22255
208,Corbata938293
209,Camiseta738319
210,Poncho854429
211,Vestido76045
212,Gorra41033
213,Gorra910202
214,Short514532
215,Impermeable624365
216,Gabardina111843
217,Leggins745597
218,Overol719257
219,Cinturón364823
220,Gabardina754716
221,Pantalón755039
222,Chaqueta471903
223,Camisón345309
224,Suéter226809
225,Kimono355866
226,Túnica461995
227,Falda273011
228,Camisa798114
229,Sombrero676820
230,Top280176
231,Chándal852693
232,Chaqueta13609
233,Pijama51423
234,Zapatos427385
235,Suéter477751
236,Medias238441
237,Parka10416
238,Chal628675
239,Camisón197546
240,Guantes138971
241,Gabardina163792
242,Cazadora75199
243,Suéter823159
244,Chaqueta187521
245,Chaleco88422
246,Chaqueta884759
247,Mono825011
248,Túnica305134
249,Abrigo289583
250,Traje936875
251,Pantalón533264
252,Guantes306460
253,Poncho396071
254,Cazadora461480
255,Polo461265
256,Camisa89817
257,Sandalias387761
258,Cardigan250051
259,Parka851829
260,Top595930
261,Sudadera517674
262,Vestido738237
263,Suéter464190
264,Cinturón516702
265,Chándal21497
266,Kimono925303
267,Short394904
268,Chaqueta83013
269,Blazer458198
270,Cardigan677485
271,Chaqueta180967
272,Sandalias884703
273,Sudadera599096
274,Bata634654
275,Blazer464286
276,Babero185686
277,Polo404304
278,Overol320801
279,Bufanda112102
280,Medias894508
281,Jersey506762
282,Suéter616501
283,Bermuda973314
284,Gabardina756273
285,Mono279991
286,Chaleco888213
287,Faja245121
288,Botas750243
289,Esmoquin42507
290,Overol956217
291,Cinturón530998
292,Jersey873825
293,Overol625521
294,Pijama273579
295,Corbata378537
296,Bata962
297,Jersey1079
298,Chaleco310956
299,Blazer105179
300,Esmoquin107458
301,Abrigo561463
302,Falda981395
303,Blazer916731
304,Sudadera363667
305,Faja829019
306,Chaleco757008
307,Camisa459263
308,Calcetines78949
309,Poncho918637
310,Vestido158387
311,Sandalias9302
312,Jersey161738
313,Falda950614
314,Cinturón304150
315,Camiseta929646
316,Bufanda399061
317,Faja799848
318,Chaleco203727
319,Sombrero585785
320,Suéter928513
321,Kimono639445
322,Traje32621
323,Calcetines139810
324,Chándal947243
325,Bermuda201849
326,Gabardina337368
327,Short263159
328,Cinturón489504
329,Babero699152
330,Vestido100652
331,Impermeable14132
332,Overol683510
333,Jersey34082
334,Top35738
335,Corbata580684
336,Boina445689
337,Impermeable572834
338,Chándal69356
339,Top715851
340,Zapatos620348
341,Sandalias544739
342,Parka337217
343,Sombrero913595
344,Bermuda528189
345,Bermuda547668
346,Zapatos853833
347,Faja45879
348,Corbata19664
349,Esmoquin774134
350,Impermeable415277
351,Bermuda22838
352,Short842221
353,Short166044
354,Blazer961782
355,Botas420062
356,Cardigan840975
357,Kimono314477
358,Pijama583516
359,Calcetines688858
360,Mono659205
361,Camisa794569
362,Jersey373660
363,Traje768801
364,Medias598422
365,Overol253439
366,Gabardina95745
367,Gabardina472803
368,Blusa32260
369,Falda14206
370,Medias361009
371,Top270588
372,Leggins370659
373,Impermeable563383
374,Medias692049
375,Corbata857
376,Top454921
377,Overol134393
378,Jersey96064
379,Kimono680782
380,Blusa78554
381,Esmoquin389194
382,Boina616767
383,Impermeable681611
384,Blazer247302
385,Chaqueta521429
386,Faja26966
387,Short475736
388,Túnica302281
389,Cardigan300722
390,Traje156586
391,Túnica147828
392,Short126260
393,Sudadera869175
394,Chaqueta606079
395,Zapatos4520
396,Cinturón351982
397,Chaqueta74685
398,Impermeable87773
399,Corbata810997
400,Esmoquin26094
401,Medias239116
402,Pijama473889
403,Zapatos228217
404,Camisón181356
405,Falda220857
406,Leggins617090
407,Boina954431
408,Medias425340
409,Vestido796375
410,Medias887024
411,Mono956871
412,Guantes479472
413,Camiseta149586
414,Faja494961
415,Pijama94363
416,Jersey483129
417,Bufanda999684
418,Poncho581279
419,Impermeable228798
420,Camisón1830
421,Blazer656889
422,Chaqueta417234
423,Leggins15948
424,Suéter596069
425,Sudadera973723
426,Esmoquin514634
427,Babero101672
428,Pantalón380950
429,Cazadora778685
430,Poncho993775
431,Boina177929
432,Cazadora515728
433,Sombrero346808
434,Traje449662
435,Camisa428345
436,Abrigo779868
437,Faja301042
438,Traje868311
439,Sombrero353298
440,Impermeable866902
441,Kimono967719
442,Chaqueta585109
443,Camiseta415615
444,Medias285582
445,Medias886859
446,Zapatos389912
447,Medias160882
448,Blazer73056
449,Suéter23885
450,Esmoquin266706
451,Bata70109
452,Gabardina253965
453,Faja154409
454,Suéter151000
455,Blazer744166
456,Corbata177218
457,Faja910464
458,Camisa939070
459,Calcetines522551
460,Suéter743570
461,Traje431016
462,Chaleco137046
463,Sombrero555882
464,Pantalón535294
465,Chal569969
466,Abrigo199117
467,Traje830912
468,Calcetines73758
469,Impermeable376335
470,Camisón267334
471,Abrigo129517
472,Cinturón803796
473,Impermeable624479
474,Botas636308
475,Calcetines529649
476,Gorra144135
477,Camisón665378
478,Pantalón782195
479,Cardigan964387
480,Mono315446
481,Gorra902465
482,Kimono850306
483,Chándal6577
484,Pijama448967
485,Chaleco739446
486,Chaqueta585362
487,Parka120892
488,Abrigo502261
489,Corbata180991
490,Overol357658
491,Pantalón672296
492,Suéter586205
493,Camisa403937
494,Gorra352525
495,Medias694941
496,Suéter935216
497,Babero579306
498,Blazer163174
499,Corbata929237
500,Medias635739
501,Jersey402116
502,Vestido74491
503,Traje794286
504,Pantalón102647
505,Cinturón970893
506,Zapatos954761
507,Sudadera210514
508,Gabardina120363
509,Calcetines268739
510,Impermeable899706
511,Faja136809
512,Mono687285
513,Overol207393
514,Jersey34041
515,Botas366324
516,Blazer571861
517,Blazer277727
518,Gabardina124605
519,Bata196838
520,Camisón239280
521,Sombrero241870
522,Falda739991
523,Blazer586223
524,Kimono148557
525,Túnica740021
526,Chal697755
527,Botas114298
528,Camiseta495954
529,Boina782930
530,Boina204938
531,Pijama223938
532,Impermeable208791
533,Poncho965004
534,Suéter837104
535,Babero323156
536,Pantalón472682
537,Chaleco227331
538,Jersey71588
539,Cardigan939168
540,Sombrero743457
541,Sudadera402347
542,Bufanda298469
543,Boina520648
544,Guantes470542
545,Mono924600
546,Túnica418072
547,Cardigan657680
548,Túnica487692
549,Poncho984624
550,Chal310568
551,Suéter977514
552,Vestido322171
553,Camisa165178
554,Medias581616
555,Bufanda285927
556,Camiseta49067
557,Sombrero224929
558,Boina188586
559,Impermeable770513
560,Kimono457461
561,Abrigo250857
562,Chaleco737604
563,Cazadora942181
564,Bata111720
565,Top797616
566,Blusa116641
567,Medias413976
568,Corbata285132
569,Cardigan975406
570,Chaleco880622
571,Short168749
572,Traje772800
573,Bufanda212821
574,Polo825176
575,Falda897735
576,Botas373167
577,Sombrero535216
578,Bata327668
579,Impermeable445872
580,Top261075
581,Cardigan74413
582,Babero143422
583,Suéter790343
584,Camiseta526646
585,Corbata82928
586,Cardigan187681
587,Cinturón501568
588,Falda528592
589,Medias427854
590,Guantes610752
591,Abrigo518813
592,Medias455360
593,Chaqueta190621
594,Camiseta919656
595,Cinturón350708
596,Faja329614
597,Camisón769073
598,Medias213123
599,Guantes344513
600,Bata236351
601,Gorra32556
602,Polo670082
603,Faja457193
604,Jersey876357
605,Blusa337509
606,Corbata889456
607,Poncho185645
608,Leggins574113
609,Chándal761835
610,Túnica314261
611,Blusa100799
612,Cazadora822410
613,Medias936879
614,Boina588224
615,Calcetines632451
616,Chaqueta296262
617,Vestido201805
618,Polo551079
619,Sandalias804505
620,Top126098
621,Kimono969737
622,Botas584693
623,Medias617870
624,Polo712397
625,Cazadora108002
626,Falda120058
627,Blusa729848
628,Falda270570
629,Traje536590
630,Poncho87880
631,Guantes375170
632,Chaleco256431
633,Overol165985
634,Boina906340
635,Chaqueta619883
636,Guantes437355
637,Poncho682244
638,Polo954115
639,Chándal712781
640,Guantes122079
641,Babero46691
642,Blusa815138
643,Babero32017
644,Poncho571805
645,Cinturón620738
646,Gabardina588199
647,Corbata618574
648,Boina90590
649,Impermeable224485
650,Vestido620773
651,Camisa554729
652,Cardigan548349
653,Medias31954
654,Corbata448773
655,Jersey732697
656,Poncho482659
657,Overol104530
658,Zapatos212738
659,Vestido70284
660,Babero261207
661,Cardigan725810
662,Polo297111
